#Data Set Export - Rainfall.Continuous@A64971,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1994-05-14 09:00:00,2.1,200,5,
1994-05-15 09:00:00,0,200,5,
1994-05-16 09:00:00,3.8,200,5,
1994-05-17 09:00:00,0.3,200,5,
1994-05-18 09:00:00,2.6,200,5,
1994-05-19 09:00:00,0.9,200,5,
1994-05-20 09:00:00,9.2,200,5,
1994-05-21 09:00:00,3.6,200,5,
1994-05-22 09:00:00,2.6,200,5,
1994-05-23 09:00:00,0,200,5,
1994-05-24 09:00:00,9.2,200,5,
1994-05-25 09:00:00,2.8,200,5,
1994-05-26 09:00:00,0.1,200,5,
1994-05-27 09:00:00,12,200,5,
1994-05-28 09:00:00,8.1,200,5,
1994-05-29 09:00:00,5,200,5,
1994-05-30 09:00:00,0,200,5,
1994-05-31 09:00:00,1.1,200,5,
1994-06-01 09:00:00,0,200,5,
1994-06-08 09:00:00,0,200,5,
1994-06-09 09:00:00,0.3,200,5,
1994-06-10 09:00:00,0,200,5,
1994-06-11 09:00:00,13.1,200,5,
1994-06-12 09:00:00,0.7,200,5,
1994-06-13 09:00:00,0.1,200,5,
1994-06-14 09:00:00,0,200,5,
1994-06-15 09:00:00,0.1,200,5,
1994-06-16 09:00:00,7.4,200,5,
1994-06-17 09:00:00,4.7,200,5,
1994-06-18 09:00:00,2.2,200,5,
1994-06-19 09:00:00,2.4,200,5,
1994-06-20 09:00:00,3.1,200,5,
1994-06-21 09:00:00,10.5,200,5,
1994-06-22 09:00:00,6.5,200,5,
1994-06-23 09:00:00,0.4,200,5,
1994-06-24 09:00:00,0,200,5,
1994-06-25 09:00:00,0.1,200,5,
1994-06-26 09:00:00,7.9,200,5,
1994-06-27 09:00:00,11.1,200,5,
1994-06-28 09:00:00,2.3,200,5,
1994-06-29 09:00:00,3.1,200,5,
1994-06-30 09:00:00,0,200,5,
1994-07-01 09:00:00,0.4,200,5,
1994-07-02 09:00:00,3.7,200,5,
1994-07-03 09:00:00,2.3,200,5,
1994-07-04 09:00:00,0,200,5,
1994-07-05 09:00:00,0,200,5,
1994-07-06 09:00:00,9,200,5,
1994-07-07 09:00:00,13.7,200,5,
1994-07-08 09:00:00,0.8,200,5,
1994-07-09 09:00:00,13.8,200,5,
1994-07-10 09:00:00,0,200,5,
1994-07-11 09:00:00,6.3,200,5,
1994-07-12 09:00:00,3.2,200,5,
1994-07-13 09:00:00,7.1,200,5,
1994-07-14 09:00:00,0,200,5,
1994-07-15 09:00:00,0,200,5,
1994-07-16 09:00:00,0,200,5,
1994-07-17 09:00:00,0.1,200,5,
1994-07-18 09:00:00,24.6,200,5,
1994-07-19 09:00:00,6.4,200,5,
1994-07-20 09:00:00,5.6,200,5,
1994-07-21 09:00:00,1.1,200,5,
1994-07-22 09:00:00,0,200,5,
1994-07-23 09:00:00,15,200,5,
1994-07-24 09:00:00,1.6,200,5,
1994-07-25 09:00:00,38,200,5,
1994-07-26 09:00:00,25.9,200,5,
1994-07-27 09:00:00,3.8,200,5,
1994-07-28 09:00:00,1.9,200,5,
1994-07-29 09:00:00,0.4,200,5,
1994-07-30 09:00:00,0.8,200,5,
1994-07-31 09:00:00,0.6,200,5,
1994-08-01 09:00:00,0,200,5,
1994-08-02 09:00:00,3.4,200,5,
1994-08-03 09:00:00,12.2,200,5,
1994-08-04 09:00:00,0.1,200,5,
1994-08-05 09:00:00,3.2,200,5,
1994-08-06 09:00:00,2.9,200,5,
1994-08-07 09:00:00,1.8,200,5,
1994-08-08 09:00:00,0,200,5,
1994-08-09 09:00:00,5.2,200,5,
1994-08-10 09:00:00,15.1,200,5,
1994-08-11 09:00:00,1,200,5,
1994-08-12 09:00:00,2.6,200,5,
1994-08-13 09:00:00,0,200,5,
1994-08-14 09:00:00,0.7,200,5,
1994-08-15 09:00:00,2.9,200,5,
1994-08-16 09:00:00,6.6,200,5,
1994-08-17 09:00:00,0,200,5,
1994-08-18 09:00:00,1.5,200,5,
1994-08-19 09:00:00,8.8,200,5,
1994-08-20 09:00:00,1.7,200,5,
1994-08-21 09:00:00,1,200,5,
1994-08-22 09:00:00,0.1,200,5,
1994-08-23 09:00:00,0,200,5,
1994-08-24 09:00:00,0,200,5,
1994-08-25 09:00:00,19.5,200,5,
1994-08-26 09:00:00,0.5,200,5,
1994-08-27 09:00:00,0.6,200,5,
1994-08-28 09:00:00,0.9,200,5,
1994-08-29 09:00:00,0,200,5,
1994-08-30 09:00:00,0.1,200,5,
1994-08-31 09:00:00,4.9,200,5,
1994-09-01 09:00:00,1.3,200,5,
1994-09-02 09:00:00,1.2,200,5,
1994-09-03 09:00:00,22.1,200,5,
1994-09-04 09:00:00,0.1,200,5,
1994-09-05 09:00:00,18.4,200,5,
1994-09-06 09:00:00,0,200,5,
1994-09-07 09:00:00,0,200,5,
1994-09-08 09:00:00,15.9,200,5,
1994-09-09 09:00:00,6,200,5,
1994-09-10 09:00:00,2.8,200,5,
1994-09-11 09:00:00,1.1,200,5,
1994-09-12 09:00:00,0.7,200,5,
1994-09-13 09:00:00,0.1,200,5,
1994-09-14 09:00:00,0,200,5,
1994-09-15 09:00:00,0,200,5,
1994-09-16 09:00:00,13.1,200,5,
1994-09-17 09:00:00,7.6,200,5,
1994-09-18 09:00:00,0,200,5,
1994-09-19 09:00:00,0,200,5,
1994-09-20 09:00:00,0,200,5,
1994-09-21 09:00:00,20.4,200,5,
1994-09-22 09:00:00,1.1,200,5,
1994-09-23 09:00:00,9.2,200,5,
1994-09-24 09:00:00,0,200,5,
1994-09-25 09:00:00,8.2,200,5,
1994-09-26 09:00:00,5.6,200,5,
1994-09-27 09:00:00,11.5,200,5,
1994-09-28 09:00:00,1,200,5,
1994-09-29 09:00:00,36.2,200,5,
1994-09-30 09:00:00,30.8,200,5,
1994-10-01 09:00:00,0,200,5,
1994-10-02 08:00:00,12.3,200,5,
1994-10-03 08:00:00,0,200,5,
1994-10-04 08:00:00,0.3,200,5,
1994-10-05 08:00:00,10.4,200,5,
1994-10-06 08:00:00,0,200,5,
1994-10-07 08:00:00,9.1,200,5,
1994-10-08 08:00:00,0.7,200,5,
1994-10-09 08:00:00,0,200,5,
1994-10-10 08:00:00,21.4,200,5,
1994-10-11 08:00:00,1.7,200,5,
1994-10-12 08:00:00,1.1,200,5,
1994-10-13 08:00:00,9.4,200,5,
1994-10-14 08:00:00,8.1,200,5,
1994-10-15 08:00:00,16.2,200,5,
1994-10-16 08:00:00,0.4,200,5,
1994-10-17 08:00:00,0.3,200,5,
1994-10-18 08:00:00,0,200,5,
1994-10-19 08:00:00,0.1,200,5,
1994-10-20 08:00:00,1,200,5,
1994-10-21 08:00:00,0.2,200,5,
1994-10-22 08:00:00,0,200,5,
1994-10-23 08:00:00,0,200,5,
1994-10-24 08:00:00,10.1,200,5,
1994-10-25 08:00:00,13.8,200,5,
1994-10-26 08:00:00,9.5,200,5,
1994-10-27 08:00:00,0,200,5,
1994-10-28 08:00:00,0,200,5,
1994-10-29 08:00:00,0.2,200,5,
1994-10-30 08:00:00,0,200,5,
1994-10-31 08:00:00,0,200,5,
1994-11-01 08:00:00,26.7,200,5,
1994-11-02 08:00:00,0,200,5,
1994-11-06 08:00:00,0,200,5,
1994-11-07 08:00:00,4.4,200,5,
1994-11-08 08:00:00,0.1,200,5,
1994-11-09 08:00:00,13.2,200,5,
1994-11-10 08:00:00,2,200,5,
1994-11-11 08:00:00,0,200,5,
1994-11-12 08:00:00,0,200,5,
1994-11-13 08:00:00,0.7,200,5,
1994-11-14 08:00:00,0,200,5,
1994-11-15 08:00:00,0,200,5,
1994-11-16 08:00:00,1.1,200,5,
1994-11-17 08:00:00,6.6,200,5,
1994-11-18 08:00:00,0,200,5,
1994-11-19 08:00:00,1,200,5,
1994-11-20 08:00:00,0,200,5,
1994-11-21 08:00:00,0,200,5,
1994-11-22 08:00:00,0.3,200,5,
1994-11-23 08:00:00,12,200,5,
1994-11-24 08:00:00,0,200,5,
1994-12-01 08:00:00,0,200,5,
1994-12-08 08:00:00,0,200,5,
1994-12-10 08:00:00,0,200,5,
1994-12-11 08:00:00,2.2,200,5,
1994-12-12 08:00:00,0,200,5,
1994-12-13 08:00:00,0,200,5,
1994-12-14 08:00:00,0,200,5,
1994-12-15 08:00:00,0.8,200,5,
1994-12-16 08:00:00,0,200,5,
1994-12-17 08:00:00,0,200,5,
1994-12-18 08:00:00,0.5,200,5,
1994-12-19 08:00:00,0,200,5,
1994-12-20 08:00:00,0,200,5,
1994-12-21 08:00:00,1.6,200,5,
1994-12-22 08:00:00,0,200,5,
1994-12-23 08:00:00,3.8,200,5,
1994-12-24 08:00:00,0,200,5,
1994-12-25 08:00:00,6.7,200,5,
1994-12-26 08:00:00,0,200,5,
1994-12-31 08:00:00,0,200,5,
1995-01-01 08:00:00,0.9,200,5,
1995-01-02 08:00:00,0,200,5,
1995-01-09 08:00:00,0,200,5,
1995-01-10 08:00:00,5.8,200,5,
1995-01-11 08:00:00,11,200,5,
1995-01-12 08:00:00,3.1,200,5,
1995-01-13 08:00:00,0,200,5,
1995-01-14 08:00:00,0.1,200,5,
1995-01-15 08:00:00,0,200,5,
1995-01-16 08:00:00,0,200,5,
1995-01-17 08:00:00,0.3,200,5,
1995-01-18 08:00:00,0,200,5,
1995-01-19 08:00:00,3.8,200,5,
1995-01-20 08:00:00,1.1,200,5,
1995-01-21 08:00:00,2.7,200,5,
1995-01-22 08:00:00,5.5,200,5,
1995-01-23 08:00:00,0.7,200,5,
1995-01-24 08:00:00,0,200,5,
1995-01-25 08:00:00,0.5,200,5,
1995-01-26 08:00:00,1.3,200,5,
1995-01-27 08:00:00,0,200,5,
1995-01-28 08:00:00,44.5,200,5,
1995-01-29 08:00:00,0.5,200,5,
1995-01-30 08:00:00,0,200,5,
1995-01-31 08:00:00,0,200,5,
1995-02-01 08:00:00,0,200,5,
1995-02-02 08:00:00,0,200,5,
1995-02-03 08:00:00,6.5,200,5,
1995-02-04 08:00:00,0.7,200,5,
1995-02-05 08:00:00,0.1,200,5,
1995-02-06 08:00:00,0.1,200,5,
1995-02-07 08:00:00,0.3,200,5,
1995-02-08 08:00:00,1.6,200,5,
1995-02-09 08:00:00,0,200,5,
1995-02-10 08:00:00,0.2,200,5,
1995-02-11 08:00:00,9.1,200,5,
1995-02-12 08:00:00,0,200,5,
1995-02-19 08:00:00,0,200,5,
1995-02-21 08:00:00,0,200,5,
1995-02-22 08:00:00,1.6,200,5,
1995-02-23 08:00:00,51.5,200,5,
1995-02-24 08:00:00,3.2,200,5,
1995-02-25 08:00:00,0,200,5,
1995-02-26 08:00:00,0,200,5,
1995-02-27 08:00:00,19,200,5,
1995-02-28 08:00:00,0,200,5,
1995-03-01 08:00:00,0,200,5,
1995-03-02 08:00:00,0,200,5,
1995-03-03 08:00:00,7.8,200,5,
1995-03-04 08:00:00,14.6,200,5,
1995-03-05 08:00:00,0.5,200,5,
1995-03-06 08:00:00,0,200,5,
1995-03-10 08:00:00,0,200,5,
1995-03-11 08:00:00,25.2,200,5,
1995-03-12 08:00:00,1.1,200,5,
1995-03-13 08:00:00,25.9,200,5,
1995-03-14 08:00:00,2.5,200,5,
1995-03-15 08:00:00,0.3,200,5,
1995-03-16 08:00:00,4.4,200,5,
1995-03-17 08:00:00,3.5,200,5,
1995-03-18 08:00:00,12.5,200,5,
1995-03-19 09:00:00,1.4,200,5,
1995-03-20 09:00:00,2.6,200,5,
1995-03-21 09:00:00,0.2,200,5,
1995-03-22 09:00:00,0.2,200,5,
1995-03-23 09:00:00,0.1,200,5,
1995-03-24 09:00:00,0.1,200,5,
1995-03-25 09:00:00,0,200,5,
1995-03-29 09:00:00,0,200,5,
1995-03-30 09:00:00,68.4,200,5,
1995-03-31 09:00:00,1,200,5,
1995-04-01 09:00:00,4.7,200,5,
1995-04-02 09:00:00,1.2,200,5,
1995-04-03 09:00:00,5.7,200,5,
1995-04-04 09:00:00,0.5,200,5,
1995-04-05 09:00:00,0,200,5,
1995-04-06 09:00:00,0,200,5,
1995-04-07 09:00:00,4.4,200,5,
1995-04-08 09:00:00,9.4,200,5,
1995-04-09 09:00:00,0.5,200,5,
1995-04-10 09:00:00,13.2,200,5,
1995-04-11 09:00:00,0,200,5,
1995-04-12 09:00:00,8.8,200,5,
1995-04-13 09:00:00,3.6,200,5,
1995-04-14 09:00:00,0,200,5,
1995-04-15 09:00:00,1.2,200,5,
1995-04-16 09:00:00,0,200,5,
1995-04-17 09:00:00,0,200,5,
1995-04-18 09:00:00,0.5,200,5,
1995-04-19 09:00:00,2.9,200,5,
1995-04-20 09:00:00,2.1,200,5,
1995-04-21 09:00:00,0,200,5,
1995-04-22 09:00:00,0,200,5,
1995-04-23 09:00:00,5.3,200,5,
1995-04-24 09:00:00,0.8,200,5,
1995-04-25 09:00:00,12.6,200,5,
1995-04-26 09:00:00,0.3,200,5,
1995-04-27 09:00:00,31.5,200,5,
1995-04-28 09:00:00,0,200,5,
1995-04-29 09:00:00,0,200,5,
1995-04-30 09:00:00,0,200,5,
1995-05-01 09:00:00,8.7,200,5,
1995-05-02 09:00:00,4.8,200,5,
1995-05-03 09:00:00,0,200,5,
1995-05-04 09:00:00,1.7,200,5,
1995-05-05 09:00:00,0.4,200,5,
1995-05-06 09:00:00,6,200,5,
1995-05-07 09:00:00,3.7,200,5,
1995-05-08 09:00:00,14.1,200,5,
1995-05-09 09:00:00,0,200,5,
1995-05-10 09:00:00,8.5,200,5,
1995-05-11 09:00:00,0,200,5,
1995-05-12 09:00:00,0,200,5,
1995-05-13 09:00:00,0,200,5,
1995-05-14 09:00:00,0.1,200,5,
1995-05-15 09:00:00,0.7,200,5,
1995-05-16 09:00:00,1.6,200,5,
1995-05-17 09:00:00,0.3,200,5,
1995-05-18 09:00:00,0,200,5,
1995-05-19 09:00:00,0.5,200,5,
1995-05-20 09:00:00,0,200,5,
1995-05-21 09:00:00,0.6,200,5,
1995-05-22 09:00:00,3.3,200,5,
1995-05-23 09:00:00,14.2,200,5,
1995-05-24 09:00:00,0,200,5,
1995-05-25 09:00:00,0,200,5,
1995-05-26 09:00:00,0,200,5,
1995-05-27 09:00:00,0,200,5,
1995-05-28 09:00:00,2.9,200,5,
1995-05-29 09:00:00,21.4,200,5,
1995-05-30 09:00:00,21.2,200,5,
1995-05-31 09:00:00,15,200,5,
1995-06-01 09:00:00,15,200,5,
1995-06-02 09:00:00,13.6,200,5,
1995-06-03 09:00:00,23.8,200,5,
1995-06-04 09:00:00,4.3,200,5,
1995-06-05 09:00:00,0.1,200,5,
1995-06-06 09:00:00,1.6,200,5,
1995-06-07 09:00:00,2.2,200,5,
1995-06-08 09:00:00,1.3,200,5,
1995-06-09 09:00:00,0.8,200,5,
1995-06-10 09:00:00,19,200,5,
1995-06-11 09:00:00,2,200,5,
1995-06-12 09:00:00,30.4,200,5,
1995-06-13 09:00:00,3.4,200,5,
1995-06-14 09:00:00,0.1,200,5,
1995-06-15 09:00:00,2,200,5,
1995-06-16 09:00:00,10.1,200,5,
1995-06-17 09:00:00,0.7,200,5,
1995-06-18 09:00:00,5.5,200,5,
1995-06-19 09:00:00,1.2,200,5,
1995-06-20 09:00:00,4.9,200,5,
1995-06-21 09:00:00,0.1,200,5,
1995-06-22 09:00:00,3.9,200,5,
1995-06-23 09:00:00,2.5,200,5,
1995-06-24 09:00:00,0,200,5,
1995-06-25 09:00:00,1,200,5,
1995-06-26 09:00:00,0.6,200,5,
1995-06-27 09:00:00,1.8,200,5,
1995-06-28 09:00:00,12.5,200,5,
1995-06-29 09:00:00,12.8,200,5,
1995-06-30 09:00:00,17.1,200,5,
1995-07-01 09:00:00,7.2,200,5,
1995-07-02 09:00:00,0.5,200,5,
1995-07-03 09:00:00,22.2,200,5,
1995-07-04 09:00:00,0,200,5,
1995-07-05 09:00:00,0.1,200,5,
1995-07-06 09:00:00,8,200,5,
1995-07-07 09:00:00,7.9,200,5,
1995-07-08 09:00:00,5.7,200,5,
1995-07-09 09:00:00,7.5,200,5,
1995-07-10 09:00:00,4.2,200,5,
1995-07-11 09:00:00,5,200,5,
1995-07-12 09:00:00,0,200,5,
1995-07-13 09:00:00,37.3,200,5,
1995-07-14 09:00:00,2.1,200,5,
1995-07-15 09:00:00,26.5,200,5,
1995-07-16 09:00:00,2,200,5,
1995-07-17 09:00:00,2.8,200,5,
1995-07-18 09:00:00,1.5,200,5,
1995-07-19 09:00:00,2.8,200,5,
1995-07-20 09:00:00,19.3,200,5,
1995-07-21 09:00:00,14.9,200,5,
1995-07-22 09:00:00,18.6,200,5,
1995-07-23 09:00:00,12.5,200,5,
1995-07-24 09:00:00,0.5,200,5,
1995-07-25 09:00:00,7.2,200,5,
1995-07-26 09:00:00,3,200,5,
1995-07-27 09:00:00,4,200,5,
1995-07-28 09:00:00,0.8,200,5,
1995-07-29 09:00:00,1.6,200,5,
1995-07-30 09:00:00,0.5,200,5,
1995-07-31 09:00:00,0,200,5,
1995-08-01 09:00:00,0.2,200,5,
1995-08-02 09:00:00,0,200,5,
1995-08-03 09:00:00,36.6,200,5,
1995-08-04 09:00:00,2.1,200,5,
1995-08-05 09:00:00,9.8,200,5,
1995-08-06 09:00:00,2.9,200,5,
1995-08-07 09:00:00,0,200,5,
1995-08-08 09:00:00,0,200,5,
1995-08-09 09:00:00,15.7,200,5,
1995-08-10 09:00:00,1.2,200,5,
1995-08-11 09:00:00,4.3,200,5,
1995-08-12 09:00:00,0.2,200,5,
1995-08-13 09:00:00,0.2,200,5,
1995-08-14 09:00:00,1.7,200,5,
1995-08-15 09:00:00,1.8,200,5,
1995-08-16 09:00:00,0,200,5,
1995-08-17 09:00:00,0.1,200,5,
1995-08-18 09:00:00,3.1,200,5,
1995-08-19 09:00:00,5.8,200,5,
1995-08-20 09:00:00,0,200,5,
1995-08-21 09:00:00,0.8,200,5,
1995-08-22 09:00:00,3.4,200,5,
1995-08-23 09:00:00,0.1,200,5,
1995-08-24 09:00:00,0,200,5,
1995-08-25 09:00:00,0,200,5,
1995-08-26 09:00:00,6,200,5,
1995-08-27 09:00:00,0,200,5,
1995-08-28 09:00:00,0.1,200,5,
1995-08-29 09:00:00,2.6,200,5,
1995-08-30 09:00:00,3.2,200,5,
1995-08-31 09:00:00,0.6,200,5,
1995-09-01 09:00:00,0.1,200,5,
1995-09-02 09:00:00,0,200,5,
1995-09-03 09:00:00,4.8,200,5,
1995-09-04 09:00:00,0,200,5,
1995-09-05 09:00:00,4.9,200,5,
1995-09-06 09:00:00,5.6,200,5,
1995-09-07 09:00:00,22.8,200,5,
1995-09-08 09:00:00,1.9,200,5,
1995-09-09 09:00:00,7.4,200,5,
1995-09-10 09:00:00,0.5,200,5,
1995-09-11 09:00:00,1.2,200,5,
1995-09-12 09:00:00,0.1,200,5,
1995-09-13 09:00:00,0,200,5,
1995-09-18 09:00:00,0,200,5,
1995-09-19 09:00:00,0.8,200,5,
1995-09-20 09:00:00,0,200,5,
1995-09-21 09:00:00,0,200,5,
1995-09-22 09:00:00,0.3,200,5,
1995-09-23 09:00:00,2.9,200,5,
1995-09-24 09:00:00,0,200,5,
1995-09-28 09:00:00,0,200,5,
1995-09-29 09:00:00,11.4,200,5,
1995-09-30 09:00:00,11.2,200,5,
1995-10-01 08:00:00,6.1,200,5,
1995-10-02 08:00:00,12.5,200,5,
1995-10-03 08:00:00,5.9,200,5,
1995-10-04 08:00:00,0.6,200,5,
1995-10-05 08:00:00,0,200,5,
1995-10-06 08:00:00,30,200,5,
1995-10-07 08:00:00,2.6,200,5,
1995-10-08 08:00:00,0,200,5,
1995-10-09 08:00:00,8.1,200,5,
1995-10-10 08:00:00,13.9,200,5,
1995-10-11 08:00:00,3.1,200,5,
1995-10-12 08:00:00,0.5,200,5,
1995-10-13 08:00:00,17.5,200,5,
1995-10-14 08:00:00,0,200,5,
1995-10-15 08:00:00,7.2,200,5,
1995-10-16 08:00:00,9.5,200,5,
1995-10-17 08:00:00,2.5,200,5,
1995-10-18 08:00:00,0.1,200,5,
1995-10-19 08:00:00,0,200,5,
1995-10-20 08:00:00,0,200,5,
1995-10-21 08:00:00,0,200,5,
1995-10-22 08:00:00,1.2,200,5,
1995-10-23 08:00:00,1,200,5,
1995-10-24 08:00:00,0,200,5,
1995-10-25 08:00:00,0,200,5,
1995-10-26 08:00:00,4.4,200,5,
1995-10-27 08:00:00,1,200,5,
1995-10-28 08:00:00,7.4,200,5,
1995-10-29 08:00:00,4.4,200,5,
1995-10-30 08:00:00,0,200,5,
1995-10-31 08:00:00,0,200,5,
1995-11-01 08:00:00,11.9,200,5,
1995-11-02 08:00:00,0,200,5,
1995-11-03 08:00:00,0,200,5,
1995-11-04 08:00:00,4,200,5,
1995-11-05 08:00:00,3.1,200,5,
1995-11-06 08:00:00,0,200,5,
1995-11-07 08:00:00,0,200,5,
1995-11-08 08:00:00,0,200,5,
1995-11-09 08:00:00,0,200,5,
1995-11-10 08:00:00,24,200,5,
1995-11-11 08:00:00,0.1,200,5,
1995-11-12 08:00:00,0.2,200,5,
1995-11-13 08:00:00,0,200,5,
1995-11-14 08:00:00,54,200,5,
1995-11-15 08:00:00,3.2,200,5,
1995-11-16 08:00:00,0,200,5,
1995-11-17 08:00:00,0.1,200,5,
1995-11-18 08:00:00,0,200,5,
1995-11-19 08:00:00,0,200,5,
1995-11-20 08:00:00,0,200,5,
1995-11-21 08:00:00,13.1,200,5,
1995-11-22 08:00:00,0.2,200,5,
1995-11-23 08:00:00,0,200,5,
1995-11-24 08:00:00,0.5,200,5,
1995-11-25 08:00:00,11,200,5,
1995-11-26 08:00:00,3.7,200,5,
1995-11-27 08:00:00,16.5,200,5,
1995-11-28 08:00:00,1.3,200,5,
1995-11-29 08:00:00,0,200,5,
1995-12-06 08:00:00,0,200,5,
1995-12-08 08:00:00,0,200,5,
1995-12-09 08:00:00,0.2,200,5,
1995-12-10 08:00:00,0,200,5,
1995-12-14 08:00:00,0,200,5,
1995-12-15 08:00:00,31.5,200,5,
1995-12-16 08:00:00,5.5,200,5,
1995-12-17 08:00:00,26,200,5,
1995-12-18 08:00:00,15.9,200,5,
1995-12-19 08:00:00,0,200,5,
1995-12-20 08:00:00,0,200,5,
1995-12-21 08:00:00,0,200,5,
1995-12-22 08:00:00,0.4,200,5,
1995-12-23 08:00:00,32,200,5,
1995-12-24 08:00:00,1,200,5,
1995-12-25 08:00:00,3.9,200,5,
1995-12-26 08:00:00,3.1,200,5,
1995-12-27 08:00:00,4.4,200,5,
1995-12-28 08:00:00,0,200,5,
1996-01-04 08:00:00,0,200,5,
1996-01-11 08:00:00,0,200,5,
1996-01-12 08:00:00,0,200,5,
1996-01-13 08:00:00,4.9,200,5,
1996-01-14 08:00:00,11.3,200,5,
1996-01-15 08:00:00,11.6,200,5,
1996-01-16 08:00:00,2.6,200,5,
1996-01-17 08:00:00,2.7,200,5,
1996-01-18 08:00:00,0,200,5,
1996-01-19 08:00:00,0,200,5,
1996-01-20 08:00:00,2.9,200,5,
1996-01-21 08:00:00,0,200,5,
1996-01-28 08:00:00,0,200,5,
1996-01-31 08:00:00,0,200,5,
1996-02-01 08:00:00,8.9,200,5,
1996-02-02 08:00:00,0,200,5,
1996-02-03 08:00:00,0,200,5,
1996-02-04 08:00:00,16.1,200,5,
1996-02-05 08:00:00,0.5,200,5,
1996-02-06 08:00:00,0,200,5,
1996-02-07 08:00:00,0.2,200,5,
1996-02-08 08:00:00,4.2,200,5,
1996-02-09 08:00:00,11.3,200,5,
1996-02-10 08:00:00,0,200,5,
1996-02-11 08:00:00,0,200,5,
1996-02-12 08:00:00,0,200,5,
1996-02-13 08:00:00,1.4,200,5,
1996-02-14 08:00:00,0,200,5,
1996-02-18 08:00:00,0,200,5,
1996-02-19 08:00:00,7.6,200,5,
1996-02-20 08:00:00,4,200,5,
1996-02-21 08:00:00,0,200,5,
1996-02-22 08:00:00,2.5,200,5,
1996-02-23 08:00:00,12.2,200,5,
1996-02-24 08:00:00,0,200,5,
1996-03-02 08:00:00,0,200,5,
1996-03-03 08:00:00,58,200,5,
1996-03-04 08:00:00,0.1,200,5,
1996-03-05 08:00:00,0,200,5,
1996-03-06 08:00:00,7.9,200,5,
1996-03-07 08:00:00,0,200,5,
1996-03-08 08:00:00,0,200,5,
1996-03-09 08:00:00,0,200,5,
1996-03-10 08:00:00,0,200,5,
1996-03-11 08:00:00,4.6,200,5,
1996-03-12 08:00:00,0,200,5,
1996-03-13 08:00:00,0,200,5,
1996-03-14 08:00:00,0,200,5,
1996-03-15 08:00:00,0,200,5,
1996-03-16 08:00:00,4.2,200,5,
1996-03-17 09:00:00,4,200,5,
1996-03-18 09:00:00,0,200,5,
1996-03-19 09:00:00,2.4,200,5,
1996-03-20 09:00:00,0.5,200,5,
1996-03-21 09:00:00,0,200,5,
1996-03-22 09:00:00,0,200,5,
1996-03-23 09:00:00,9.6,200,5,
1996-03-24 09:00:00,1.7,200,5,
1996-03-25 09:00:00,0,200,5,
1996-03-26 09:00:00,2.2,200,5,
1996-03-27 09:00:00,0,200,5,
1996-03-28 09:00:00,13.1,200,5,
1996-03-29 09:00:00,0,200,5,
1996-03-30 09:00:00,0,200,5,
1996-03-31 09:00:00,12.9,200,5,
1996-04-01 09:00:00,2,200,5,
1996-04-02 09:00:00,0.2,200,5,
1996-04-03 09:00:00,0.3,200,5,
1996-04-04 09:00:00,16.5,200,5,
1996-04-05 09:00:00,12.5,200,5,
1996-04-06 09:00:00,13,200,5,
1996-04-07 09:00:00,32.5,200,5,
1996-04-08 09:00:00,0,200,5,
1996-04-09 09:00:00,0,200,5,
1996-04-10 09:00:00,9.2,200,5,
1996-04-11 09:00:00,3.2,200,5,
1996-04-12 09:00:00,2,200,5,
1996-04-13 09:00:00,0.3,200,5,
1996-04-14 09:00:00,22.2,200,5,
1996-04-15 09:00:00,0.2,200,5,
1996-04-16 09:00:00,0,200,5,
1996-04-17 09:00:00,0,200,5,
1996-04-18 09:00:00,0,200,5,
1996-04-19 09:00:00,10.8,200,5,
1996-04-20 09:00:00,0,200,5,
1996-04-21 09:00:00,3.7,200,5,
1996-04-22 09:00:00,25.7,200,5,
1996-04-23 09:00:00,0,200,5,
1996-04-28 09:00:00,0,200,5,
1996-04-29 09:00:00,2.5,200,5,
1996-04-30 09:00:00,20.8,200,5,
1996-05-01 09:00:00,1.3,200,5,
1996-05-02 09:00:00,0.1,200,5,
1996-05-03 09:00:00,0,200,5,
1996-05-04 09:00:00,0,200,5,
1996-05-05 09:00:00,0,200,5,
